S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JAGADISH SHETTAR,Bharatiya Janata Party,756471,5558,762029,55.06
2.0,MRINAL R HEBBALKAR,Indian National Congress,580897,2695,583592,42.17
3.0,MAHADEV PATIL,Independent,9425,78,9503,0.69
4.0,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,5406,35,5441,0.39
5.0,ASHOK APPAYA APPUGOL,Bahujan Samaj Party,4350,57,4407,0.32
6.0,RAVI SHIVAPPA PADASALAGI,Independent,3911,15,3926,0.28
7.0,VIJAY S METHRANI,Independent,2804,4,2808,0.2
8.0,PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,1413,20,1433,0.1
9.0,LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),1287,15,1302,0.09
10.0,NITIN ASHOK MHADAGUT,Independent,1286,24,1310,0.09
11.0,PUNDALIK ITNAL,Independent,1062,37,1099,0.08
12.0,ASHOK P HANAJI,Independent,668,11,679,0.05
13.0,ASHPAKAHMAD USTAD,Independent,622,12,634,0.05
14.0,NOTA,None of the Above,5683,43,5726,0.41
,Total,,1375285,8604,1383889,
