S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66
2.0,A VIJAYARAGHAVAN,Communist Party of India (Marxist),342798,3088,345886,33.39
3.0,C KRISHNAKUMAR,Bharatiya Janata Party,249568,2210,251778,24.31
4.0,K T PADMINI,Bahujan Samaj Party,2102,30,2132,0.21
5.0,ANNA KURIAKOSE,Independent,1416,17,1433,0.14
6.0,N S K PURAM SASIKUMAR,Independent,1151,26,1177,0.11
7.0,RAJESH K SON OF VELANKUTTY,Independent,1033,23,1056,0.1
8.0,RAJESH M SON OF MANI C,Independent,947,6,953,0.09
9.0,SIDHEEK IRUPPASSERY,Independent,913,26,939,0.09
10.0,C RAJAMANICKAM,Independent,516,4,520,0.05
11.0,NOTA,None of the Above,8724,69,8793,0.85
,Total,,1027240,8596,1035836,
