S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ANUP SANJAY DHOTRE,Bharatiya Janata Party,454972,2058,457030,38.96
2.0,ABHAY KASHINATH PATIL,Indian National Congress,414557,1847,416404,35.5
3.0,AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan Aaghadi,275490,1257,276747,23.59
4.0,ADV NAJIB SHAIKH,Indian National League,3288,12,3300,0.28
5.0,KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,2737,23,2760,0.24
6.0,MURLIDHAR LALSING PAWAR,Independent,2058,8,2066,0.18
7.0,ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,1710,24,1734,0.15
8.0,AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,1610,8,1618,0.14
9.0,UJWALA VINAYAK RAUT,Independent,1298,8,1306,0.11
10.0,DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,1236,4,1240,0.11
11.0,DILIP SHATRUGHAN MHAISANE,Independent,860,2,862,0.07
12.0,ASHOK KISANRAO THORAT,Independent,573,8,581,0.05
13.0,MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,564,4,568,0.05
14.0,BABAN MAHADEV SAYAM,Janseva Gondwana Party,535,2,537,0.05
15.0,PRITI PRAMOD SADANSHIV,Republican Party of India (Social),528,8,536,0.05
16.0,NOTA,None of the Above,5752,31,5783,0.49
,Total,,1167768,5304,1173072,
