S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,412286,1562,413848,56.65
2.0,VINOJ,Bharatiya Janata Party,168059,1100,169159,23.16
3.0,B. PARTHASARATHY,Desiya Murpokku Dravida Kazhagam,71772,244,72016,9.86
4.0,DR.R.KARTHIKEYAN,Naam Tamilar Katchi,45865,166,46031,6.3
5.0,ANBAZHAGAN.G,Independent,3175,11,3186,0.44
6.0,DILAVAR ALI,Tipu Sultan Party,2536,10,2546,0.35
7.0,SAMARAN,Bahujan Samaj Party,2132,15,2147,0.29
8.0,L.KASINATHAN,Independent,1059,1,1060,0.15
9.0,AGNI AALVAR,Independent,783,4,787,0.11
10.0,C.S.KARNAN,Anti Corruption Dynamic Party,750,11,761,0.1
11.0,M.L.RAVI,Desiya Makkal Sakthi Katchi,690,6,696,0.1
12.0,S.KANDASAMY,Independent,595,1,596,0.08
13.0,DHAYANIDHI SURESH,Independent,565,2,567,0.08
14.0,S.SATHISH KUMAR,Independent,526,1,527,0.07
15.0,P.ARJUNAN,Independent,502,7,509,0.07
16.0,S.SATHISH KUMAR,Independent,500,1,501,0.07
17.0,G.OMPRAKASH,Independent,486,2,488,0.07
18.0,V.V.TAMILARASAN,Independent,386,3,389,0.05
19.0,UDAYA KUMAR.V,Independent,382,-,382,0.05
20.0,B.PARTHASARATHY,Independent,377,3,380,0.05
21.0,K.CHANDRASEKAR,Naadaalum Makkal Katchi,373,-,373,0.05
22.0,N.RAMAN,Tamilnadu Makkal Nalvazhvu Periyakkam,311,3,314,0.04
23.0,R.MINNAL RAJ,Independent,310,-,310,0.04
24.0,R.VIJAY,Independent,268,-,268,0.04
25.0,A.SELVA KUMAR,Thakkam Katchi,265,5,270,0.04
26.0,M.NAGARAJ,Independent,254,-,254,0.03
27.0,J.NAGARAJ,Independent,238,3,241,0.03
28.0,SENTHILKUMAR,Chennai Youth Party,222,1,223,0.03
29.0,RANJITHKUMAR.S,Independent,215,-,215,0.03
30.0,RAVI BALARAMAN,Independent,182,1,183,0.03
31.0,MANJUNATHA.R,Independent,159,-,159,0.02
32.0,NOTA,None of the Above,11082,81,11163,1.53
,Total,,727305,3244,730549,
