S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JOTHIMANI. S,Indian National Congress,531829,3077,534906,47.25
2.0,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,366209,1881,368090,32.52
3.0,SENTHILNATHAN. V.V,Bharatiya Janata Party,101517,965,102482,9.05
4.0,KARUPPAIYA. R,Naam Tamilar Katchi,86962,541,87503,7.73
5.0,SANKARAN. S,Bahujan Samaj Party,2665,15,2680,0.24
6.0,SAKTHIVEL. R,Independent,2391,22,2413,0.21
7.0,ABILAZAN. N,Independent,1916,5,1921,0.17
8.0,KARTHIKPERUMAL. R,Independent,1808,1,1809,0.16
9.0,KATHIRAVAN. P,Independent,1445,3,1448,0.13
10.0,KARUNAMOORTHY. S,Independent,1278,-,1278,0.11
11.0,MOHAMED NAZEEM. S,Independent,938,-,938,0.08
12.0,PALANISAMY. N.A,Independent,934,-,934,0.08
13.0,SHANMUGAM. N,Samaniya Makkal Nala Katchi,924,5,929,0.08
14.0,KALAIRAJ. K,Independent,809,2,811,0.07
15.0,JOTHIMANI. A.K,Independent,805,3,808,0.07
16.0,KANNAN. T,Independent,782,6,788,0.07
17.0,JOTHIMANI. S,Independent,774,6,780,0.07
18.0,SATHASIVAM. R,Independent,728,1,729,0.06
19.0,MANIKANDAN. K,Independent,685,-,685,0.06
20.0,KOSAMALAR. P,Independent,641,3,644,0.06
21.0,MURUGESAN. K,Ganasangam Party of India,628,2,630,0.06
22.0,MAHESWARAN. A,Independent,589,1,590,0.05
23.0,REGIS THIYAGARAJAN. V.G.A,Independent,570,2,572,0.05
24.0,VINCENT. F,Anti Corruption Dynamic Party,510,5,515,0.05
25.0,NATRAYAN. R,Independent,503,-,503,0.04
26.0,BANUMATHY. S,Independent,494,2,496,0.04
27.0,UMADEVI. S,Independent,452,1,453,0.04
28.0,VARADAN. M,Independent,428,1,429,0.04
29.0,MURALI. M,Independent,417,-,417,0.04
30.0,SAKTHIVEL. N,Independent,414,1,415,0.04
31.0,BABU. G,Independent,387,-,387,0.03
32.0,JAFAR ALI. A,Independent,368,3,371,0.03
33.0,PRABHU. G,Independent,354,-,354,0.03
34.0,PALANIVEL. P,Independent,350,-,350,0.03
35.0,ANBAZHAGAN. T,Independent,338,1,339,0.03
36.0,MURUGESAN. P,Independent,327,-,327,0.03
37.0,SOWMIYA. R,Independent,307,3,310,0.03
38.0,SATHISHKUMAR. S,Independent,304,2,306,0.03
39.0,DHURAIYARASAN. P,Independent,273,2,275,0.02
40.0,VINOTH KUMAR. N,Independent,273,3,276,0.02
41.0,SATHIS KUMAR. C,Independent,258,9,267,0.02
42.0,THIRUGNANAM. M,Independent,253,5,258,0.02
43.0,SATHISH. P,Independent,241,3,244,0.02
44.0,MAHAMUNI. A,Independent,213,-,213,0.02
45.0,RAJAPANDIAN. K,Independent,207,2,209,0.02
46.0,JOTHIVEL. A,Independent,206,-,206,0.02
47.0,BASKARAN. N,Independent,205,-,205,0.02
48.0,PUSHPARAJ. N,Independent,199,-,199,0.02
49.0,NARENDRAKUMAR. G,Independent,197,-,197,0.02
50.0,PRASANTH. S,Independent,194,-,194,0.02
51.0,SUBASH MALAYALAM. T,Independent,186,-,186,0.02
52.0,NAGESVARAN. P,Independent,185,-,185,0.02
53.0,DANIYA. P,Independent,165,-,165,0.01
54.0,SIVAKUMAR. V,Independent,150,1,151,0.01
55.0,NOTA,None of the Above,8174,101,8275,0.73
,Total,,1125359,6686,1132045,
