S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89
2.0,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,29.04
3.0,KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,18.28
4.0,MAHAMD JAHANGIR,Communist Party of India (Marxist),28412,318,28730,2.05
5.0,RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,0.58
6.0,AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,0.55
7.0,ASURA BALU,Independent,5747,3,5750,0.41
8.0,PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,-,4718,0.34
9.0,BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,0.33
10.0,POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,0.32
11.0,NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,0.31
12.0,KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,0.29
13.0,TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,0.22
14.0,KARINGULA YADAGIRI,Independent,2607,5,2612,0.19
15.0,BETHI NARENDER,Independent,2168,-,2168,0.15
16.0,M. GANESH,Pyramid Party of India,1996,14,2010,0.14
17.0,MALLEBOINA PARAMESH YADAV,Independent,1895,2,1897,0.14
18.0,LINGIDI. VENKATESWARLU,Prajavani Party,1792,-,1792,0.13
19.0,V. SADANANDA REDDY,People Protection Party,1734,3,1737,0.12
20.0,DHERAVATH GOPI NAIK,Jai Maha Bharath Party,1678,4,1682,0.12
21.0,PENTA RAMESH,Independent,1646,1,1647,0.12
22.0,RACHA SUBHADRA REDDY,Socialist Party (India),1444,21,1465,0.1
23.0,VARIKUPPALA. KRISHNA VADDERA,Independent,1361,5,1366,0.1
24.0,BASHABOINA LAKSHMAIAH,Independent,1319,1,1320,0.09
25.0,NUNE VENKAT SWAMY,Independent,919,4,923,0.07
26.0,NARRI. SWAMY KURUMA,Independent,897,1,898,0.06
27.0,JANGA. SUJATHANAVEEN REDDY,Independent,847,-,847,0.06
28.0,ERRA SURYAM,Viduthalai Chiruthaigal Katchi,777,1,778,0.06
29.0,"KONGARI, MALLAIAH",Independent,631,2,633,0.05
30.0,DR : MORIGADI KRISHNA,Independent,616,1,617,0.04
31.0,KANDE. RAMARAJU,Independent,577,2,579,0.04
32.0,KOTHOJU SRINIVASU,National Maha Sabha Party,567,2,569,0.04
33.0,AMIREDDY KIRAN REDDY,Independent,540,1,541,0.04
34.0,CHANDU NAYAK MEGAVATH,Independent,501,1,502,0.04
35.0,KADIRE KIRAN KUMAR,Bahujan Republican Socialist Party,476,2,478,0.03
36.0,KARUNAKAR REDDY NALLA,Jai Bharat National Party,446,1,447,0.03
37.0,KANDADI. MANIPAL REDDY,Telangana Republican Party,432,1,433,0.03
38.0,UDARI MALLESH,Independent,404,2,406,0.03
39.0,ANIL KUMAR GADEPAKA,Independent,390,3,393,0.03
40.0,NOTA,None of the Above,4571,75,4646,0.33
,Total,,1388579,12817,1401396,
