S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AWADHESH PRASAD,Samajwadi Party,553549,740,554289,48.59
2.0,LALLU SINGH,Bharatiya Janata Party,499002,720,499722,43.81
3.0,SACHIDANAND PANDEY,Bahujan Samaj Party,46347,60,46407,4.07
4.0,ARVIND SEN,Communist Party of India,15353,14,15367,1.35
5.0,SUNIL KUMAR BHATT,Independent,3826,1,3827,0.34
6.0,KANCHAN YADAV,Moulik Adhikar Party,2662,4,2666,0.23
7.0,AMBRISH DEV GUPTA,Bharat Mahaparivar Party,2216,2,2218,0.19
8.0,FAREED SALMANI,Independent,1779,1,1780,0.16
9.0,LAL MANI URF L.M. TRIPATHI (BHAI SAHAB),Independent,1717,-,1717,0.15
10.0,ANIL KUMAR RAVAT,Rashtriya Janshakti Samaj Party,1636,2,1638,0.14
11.0,JAGAT SINGH,Independent,1252,2,1254,0.11
12.0,BRAJENDRA DUTT TRIPATHI URF B. D. TRIPATHI,Adarshwaadi Congress Party,1163,10,1173,0.1
13.0,ARUN KUMAR,Independent,1063,4,1067,0.09
14.0,NOTA,None of the Above,7529,7,7536,0.66
,Total,,1139094,1567,1140661,
