S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AKHILESH YADAV,Samajwadi Party,640207,2085,642292,52.74
2.0,SUBRAT PATHAK,Bharatiya Janata Party,470131,1239,471370,38.71
3.0,IMRAN BIN ZAFAR,Bahujan Samaj Party,81471,168,81639,6.7
4.0,ALOK VERMA,Rashtriya Shoshit Samaj Party,4484,8,4492,0.37
5.0,LALIT KUMARI,Independent,3262,5,3267,0.27
6.0,SINOD KUMAR,Independent,1732,1,1733,0.14
7.0,RAJ KATHERIA,Independent,1463,1,1464,0.12
8.0,BHANU PRATAP SINGH DOHRE,Independent,1430,2,1432,0.12
9.0,SHAILENDRA KUMAR,Bharatiya Kisan Parivartan Party,1141,10,1151,0.09
10.0,YADVENDRA KISHOR,Independent,1061,1,1062,0.09
11.0,SUBHASH CHANDRA,All India Forward Bloc,799,2,801,0.07
12.0,SUNIL,Bhartiya Shakti Chetna Party,738,1,739,0.06
13.0,PRAMOD KUMAR YADAV,Bhartiya Krishak Dal,557,3,560,0.05
14.0,PURUSHOTTAM TIWARI,Independent,541,2,543,0.04
15.0,IRFAN ALI,Independent,463,7,470,0.04
16.0,NOTA,None of the Above,4805,13,4818,0.4
,Total,,1214285,3548,1217833,
