S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,UTKARSH VERMA 'MADHUR',Samajwadi Party,555277,2088,557365,45.94
2.0,AJAY KUMAR,Bharatiya Janata Party,521954,1082,523036,43.11
3.0,ANSHAY KALRA,Bahujan Samaj Party,110122,338,110460,9.1
4.0,SANDHYA JAISWAL,Parivartan Samaj Party,3093,3,3096,0.26
5.0,SATENDRA KUMAR MAURYA,Independent,2980,2,2982,0.25
6.0,OM NATH SINGH,Rashtriya Shoshit Samaj Party,2298,2,2300,0.19
7.0,NARESH SINGH BHADAURIYA,Independent,2107,4,2111,0.17
8.0,MUKESH KUMAR (BHARTI),Rashtriya Vikalp Party,1266,3,1269,0.1
9.0,KHANJAN,Netaji Subhash Chander Bose Rashtriya Azad Party,1018,1,1019,0.08
10.0,DARWARI URF DARWARI LAL CHAUHAN,Janta Kranti Party,935,1,936,0.08
11.0,KM. PANCHSHEELA ANAND,Uttar Pradesh Republican Party,845,9,854,0.07
12.0,NOTA,None of the Above,7915,16,7931,0.65
,Total,,1209810,3549,1213359,
