S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,648498,5310,653808,50.19
2.0,VIRENDRA RAWAT,Indian National Congress,487406,2346,489752,37.6
3.0,UMESH KUMAR PATRAKAR,Independent,89958,1230,91188,7.0
4.0,JAMIL AHMAD,Bahujan Samaj Party,42116,207,42323,3.25
5.0,BALBIR SINGH BHANDARI,Uttarakhand Samanta Party,2943,18,2961,0.23
6.0,MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,2809,45,2854,0.22
7.0,VIJAY KUMAR,Independent,2409,1,2410,0.19
8.0,PAWAN KASHYAP,Independent,2170,8,2178,0.17
9.0,KARAN SINGH SAINI ENGINEER,Independent,1963,11,1974,0.15
10.0,AKRAM HUSSAIN,Independent,1678,7,1685,0.13
11.0,LALIT KUMAR,Peoples Party of India (Democratic),1396,14,1410,0.11
12.0,SURESH PAL,Bhartiya Rashtriya Ekta Dal,1150,12,1162,0.09
13.0,ASHISH DHYANI,Independent,1107,10,1117,0.09
14.0,AVNISH KUMAR,Independent,967,8,975,0.07
15.0,NOTA,None of the Above,6663,163,6826,0.52
,Total,,1293233,9390,1302623,
