S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96
2.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62
3.0,APPALANARASA PACHIPENTA,Communist Party of India (Marxist),119016,4113,123129,10.57
4.0,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21
5.0,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82
6.0,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81
7.0,ATHIDHI,Independent,8121,15,8136,0.7
8.0,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62
9.0,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58
10.0,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52
11.0,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43
12.0,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43
13.0,VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39
14.0,NOTA,None of the Above,50205,265,50470,4.33
,Total,,1143013,21432,1164445,
