S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,699382,7961,707343,57.46
2.0,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,426037,4504,430541,34.98
3.0,K.B.R.NAIDU,Indian National Congress,34298,915,35213,2.86
4.0,PRASANNA KUMAR UNDURTHI,Independent,6350,14,6364,0.52
5.0,MEDAPATI VENKATA VARAHALA REDDY,Independent,5966,3,5969,0.48
6.0,SIRRA RAJU,Bahujan Samaj Party,5945,69,6014,0.49
7.0,BALAGAM NAYAKAR,Independent,5232,8,5240,0.43
8.0,NALLI RAJESH,Independent,4684,-,4684,0.38
9.0,KETHA SREENU,Independent,3140,5,3145,0.26
10.0,OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,3112,4,3116,0.25
11.0,ADDEPALLI VEERA VENKAT SUBBA RAO,Independent,2781,2,2783,0.23
12.0,ANAND CHANDULAL JASTI,Independent,2726,-,2726,0.22
13.0,GANJI PURNIMA,Republican Party of India (A),1645,4,1649,0.13
14.0,GEDALA LAXMANA RAO,Independent,1525,2,1527,0.12
15.0,ADDANKI DORABABU,Independent,1388,5,1393,0.11
16.0,GOTTUMUKKALA SHIVAJI,Independent,1378,6,1384,0.11
17.0,ADINARAYANA DUPPANAPUDI,Independent,1002,5,1007,0.08
18.0,MANNE LEELA RAMA NARENDRA,Pyramid Party of India,922,8,930,0.08
19.0,RAMA DURGA PRASAD THOLETI,Independent,919,1,920,0.07
20.0,RUKHMINI,Independent,683,3,686,0.06
21.0,ADABALA SIVA,Independent,682,1,683,0.06
22.0,NOTA,None of the Above,7554,123,7677,0.62
,Total,,1217351,13643,1230994,
