S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAMPRIT MANDAL,Janata Dal (United),532138,894,533032,48.73
2.0,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9
3.0,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76
4.0,RAM PRASAD RAUT,Independent,25993,17,26010,2.38
5.0,GANGA PRASAD YADAV,Independent,18064,10,18074,1.65
6.0,GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31
7.0,RAJIV KUMAR JHA,Independent,12488,25,12513,1.14
8.0,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07
9.0,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99
10.0,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,0.78
11.0,NOTA,None of the Above,35846,82,35928,3.28
,Total,,1091394,2347,1093741,
