S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,GENIBEN NAGAJI THAKOR,Indian National Congress,667072,4811,671883,48.83
2.0,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,635760,5717,641477,46.62
3.0,MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party,9900,29,9929,0.72
4.0,RATHOD MAVJI BHEMAJI,Independent,7690,6,7696,0.56
5.0,SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent,5473,8,5481,0.4
6.0,JASUBHAI GAMAR,Bharat Adivasi Party,4615,11,4626,0.34
7.0,PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party,3503,10,3513,0.26
8.0,BAJAG LASHABHAI LAVAJIBHAI,Independent,2994,15,3009,0.22
9.0,PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party,1822,1,1823,0.13
10.0,IBRAHIMBHAI PARASANI,Independent,1588,3,1591,0.12
11.0,PARMAR CHHAGANCHANDRARAJ,Independent,1369,5,1374,0.1
12.0,CHETANKUMAR KESHAVLAL OZA,Independent,1321,13,1334,0.1
13.0,NOTA,None of the Above,22034,133,22167,1.61
,Total,,1365141,10762,1375903,
