S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SELJA,Indian National Congress,732298,1525,733823,54.17
2.0,ASHOK TANWAR,Bharatiya Janata Party,464472,854,465326,34.35
3.0,SANDEEP LOT VALMIKI,Indian National Lok Dal,92279,174,92453,6.82
4.0,RAMESH KHATAK,Jannayak Janta Party,20049,31,20080,1.48
5.0,LILU RAM ASAKHERA,Bahujan Samaj Party,10120,31,10151,0.75
6.0,RAHUL CHOUHAN,Independent,6159,1,6160,0.45
7.0,KARNAIL SINGH ODHAN,Independent,4152,14,4166,0.31
8.0,SATPAL LADWAL,Independent,3413,-,3413,0.25
9.0,MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),3058,3,3061,0.23
10.0,JOGINDER RAM,Independent,2140,2,2142,0.16
11.0,RAN SINGH PANWAR,Independent,1548,2,1550,0.11
12.0,RAJINDER KUMAR,Bharatiya Asha Party,1239,3,1242,0.09
13.0,BAGDAWAT RAM,Independent,1221,3,1224,0.09
14.0,JASVIR SINGH,Independent,1128,8,1136,0.08
15.0,NAVEEN KUMAR COMMANDO,Independent,1113,3,1116,0.08
16.0,SUKHDEV SINGH SANDHU,Independent,993,6,999,0.07
17.0,DR. RAJESH MEHANDIA,Bahujan Republican Socialist Party,931,-,931,0.07
18.0,DHARAMPAL VARTIA,Loktantrik Lok Rajyam Party,916,3,919,0.07
19.0,SURENDER KUMAR PHULAN,Independent,614,3,617,0.05
20.0,NOTA,None of the Above,4106,17,4123,0.3
,Total,,1351949,2683,1354632,
