S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAMESH JIGAJINAGI,Bharatiya Janata Party,669055,3726,672781,51.91
2.0,RAJU ALAGUR.,Indian National Congress,593277,2275,595552,45.95
3.0,GANAPATI RATHOD (HANJAGI),Karnataka Rashtra Samithi,7652,39,7691,0.59
4.0,BHOVI TARABAI,Independent,4342,11,4353,0.34
5.0,RAMJI YAMANAPPA BUDDHAPRIYA,Naki Bharatiya Ekta Party,2414,12,2426,0.19
6.0,NAGAJYOTI.B.N.,Socialist Unity Centre Of India (COMMUNIST),2375,17,2392,0.18
7.0,RAJAKUMAR APPANNA HONNAKATTI,Rashtriya Samaj Paksha,1784,10,1794,0.14
8.0,JITENDRA.ASHOK. KAMBLE,Republican Party of India (A),1605,18,1623,0.13
9.0,NOTA,None of the Above,7482,20,7502,0.58
,Total,,1289986,6128,1296114,
