S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21
2.0,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,618168,4459,622627,44.69
3.0,KALLOLIKAR SHAMBHU KRISHNA,Independent,25351,115,25466,1.83
4.0,SAMMED SARADAR VARDHAMANE,Independent,5351,2,5353,0.38
5.0,SHRENIK ANNASAHEB JANGATE,Independent,5179,2,5181,0.37
6.0,APPASAHEB SHRIPATI KURANE,Sarva Janata Party,4635,19,4654,0.33
7.0,VILAS MANNUR,Independent,4143,7,4150,0.3
8.0,SATTEPPA DASHARATH KALELI,Bharatheeya Jawan Kisan Party,1304,15,1319,0.09
9.0,YASIN SHIRAJUDDIN PATAKI,Independent,1279,2,1281,0.09
10.0,KASHINATH KALLAPPA KURANI,Independent,1097,11,1108,0.08
11.0,MAHESH ASHOK KASAR,Independent,1002,7,1009,0.07
12.0,MOHAN GURAPPA MOTANNAVAR,Independent,938,8,946,0.07
13.0,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,930,11,941,0.07
14.0,PAVANKUMAR BABURAV MALAGE,Bahujan Bharat Party,655,11,666,0.05
15.0,DR|| KADAYYA HIREMATH (SWAMIJI),Independent,642,5,647,0.05
16.0,BHIMASEN DATTU SANADI,Independent,614,5,619,0.04
17.0,GAJANAN L. PUJARI,Independent,591,9,600,0.04
18.0,JITENDRA SUBHASH NERLE,Independent,452,5,457,0.03
19.0,NOTA,None of the Above,2571,37,2608,0.19
,Total,,1385725,7368,1393093,
