S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KIRTIVARDHAN SINGH,Bharatiya Janata Party,473691,567,474258,49.77
2.0,SHREYA VERMA,Samajwadi Party,427363,671,428034,44.92
3.0,SAURABH,Bahujan Samaj Party,29388,41,29429,3.09
4.0,RAM UJAGAR,Independent,3535,-,3535,0.37
5.0,ARUNIMA PANDEY,Independent,3070,3,3073,0.32
6.0,RAGHAVENDRA,Bhartiya Shakti Chetna Party,2027,1,2028,0.21
7.0,RAJKUMAR,Independent,1988,1,1989,0.21
8.0,VINOD KUMAR SINGH,Bhartiya Uday Nirman Party,1482,1,1483,0.16
9.0,NOTA,None of the Above,9048,7,9055,0.95
,Total,,951592,1292,952884,
