S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAMESH AWASTHI,Bharatiya Janata Party,440609,2446,443055,49.93
2.0,ALOK MISRA,Indian National Congress,419469,2618,422087,47.56
3.0,KULDEEP BHADAURIYA,Bahujan Samaj Party,11843,189,12032,1.36
4.0,ASHOK PASWAN ADVOCATE,Sabhi Jan Party,1969,5,1974,0.22
5.0,ALOK MISHRA,Independent,1186,12,1198,0.14
6.0,MANOJ KUMAR,Independent,776,2,778,0.09
7.0,AJAY KUMAR MISHRA,Independent,671,1,672,0.08
8.0,PRASHAST DHEER,All India Forward Bloc,462,3,465,0.05
9.0,ARVIND KUMAR SRIVASTAVA,Independent,394,4,398,0.04
10.0,SANJAY SINGH,"Proutist Bloc, India",348,2,350,0.04
11.0,VALENDRA KATIYAR,Socialist Unity Centre Of India (COMMUNIST),267,3,270,0.03
12.0,NOTA,None of the Above,4048,69,4117,0.46
,Total,,882042,5354,887396,
