S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,ANUPRIYA PATEL,Apna Dal (Soneylal),470866,765,471631,42.67
2.0,RAMESH CHAND BIND,Samajwadi Party,433286,535,433821,39.25
3.0,MANISH KUMAR,Bahujan Samaj Party,144279,167,144446,13.07
4.0,RAJESH,Independent,10927,9,10936,0.99
5.0,LAL JI VERMA,Independent,6355,4,6359,0.58
6.0,ANIL KUMAR,Eklavya Samaj Party,6166,5,6171,0.56
7.0,DAULAT SINGH,Apna Dal (Kamerawadi),5227,8,5235,0.47
8.0,RAMDHANI,Rashtriya Samaj Paksha,4914,1,4915,0.44
9.0,SAMEER SINGH,All India Forward Bloc,3486,1,3487,0.32
10.0,SATYADEV,Purvanchal Mahapanchayat,3351,4,3355,0.3
11.0,NOTA,None of the Above,15043,6,15049,1.36
,Total,,1103900,1505,1105405,
