S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3
2.0,BHAGWAT SARAN GANGWAR,Samajwadi Party,439735,2488,442223,38.09
3.0,ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,89252,445,89697,7.73
4.0,RAJEEV KUMAR SAXENA,Bhartiya Krishak Dal,3800,9,3809,0.33
5.0,SUSHIL KUMAR SHUKLA,Independent,2723,4,2727,0.23
6.0,MOHMMAD SHAHID HUSAIN,Independent,1842,4,1846,0.16
7.0,ASHISH KUMAR,Independent,1842,8,1850,0.16
8.0,ADARSH PANDEY,Independent,1714,12,1726,0.15
9.0,SANJAY KUMAR BHARTI,Rashtriya Samaj Dal (R),1621,10,1631,0.14
10.0,PRAMOD BHAI PATEL ALIAS P.K.,Independent,1525,14,1539,0.13
11.0,NOTA,None of the Above,6714,27,6741,0.58
,Total,,1155967,4980,1160947,
