S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,RAKESH RATHOR,Indian National Congress,530467,671,531138,48.2
2.0,RAJESH VERMA,Bharatiya Janata Party,441066,431,441497,40.06
3.0,MAHENDRA SINGH YADAV,Bahujan Samaj Party,99284,80,99364,9.02
4.0,MO. KASHIF ANSARI,Apna Dal (Kamerawadi),7585,1,7586,0.69
5.0,LEKHRAJ LODHI,Aazad Samaj Party (Kanshi Ram),6734,-,6734,0.61
6.0,VIDYAWATI GAUTAM,Independent,4193,1,4194,0.38
7.0,CHANDRA SHEKHAR VERMA,Rashtriya Shoshit Samaj Party,2429,-,2429,0.22
8.0,RAM ADHAR VERMA,Sardar Patel Siddhant Party,2114,1,2115,0.19
9.0,NOTA,None of the Above,6954,4,6958,0.63
,Total,,1100826,1189,1102015,
